# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
443 6.151519 7.865664 8.930404 9.198181
444 6.154831 7.861644 8.932625 9.206710
445 6.159788 7.875392 8.939357 9.202703
446 6.153280 7.843026 8.923085 9.201035
447 6.152535 7.858866 8.933106 9.209131
448 6.144183 7.849085 8.922191 9.192904
449 6.139169 7.853113 8.921437 9.187472
450 6.150259 7.856448 8.933212 9.200748
451 6.150427 7.853902 8.931967 9.208430
452 6.142984 7.850736 8.935435 9.209547
453 6.139689 7.835752 8.925106 9.197449
454 6.144082 7.844445 8.927940 9.194695
455 6.149148 7.849188 8.925591 9.195952
456 6.142568 7.840966 8.920312 9.194124
457 6.140788 7.843103 8.921241 9.190294
458 6.142702 7.850834 8.926249 9.202083
459 6.138623 7.843164 8.926872 9.203509
460 6.146017 7.853075 8.935723 9.203849
461 6.156587 7.861748 8.922643 9.194148
462 6.138654 7.840791 8.926684 9.193139
463 6.143243 7.851184 8.926969 9.189784
464 6.144890 7.853879 8.931328 9.193389
465 6.154220 7.855764 8.927496 9.195257
466 6.146131 7.853782 8.938159 9.207443
467 6.151687 7.859739 8.928502 9.195749
468 6.150034 7.846096 8.928780 9.202106
469 6.146571 7.845453 8.930120 9.208592
470 6.147204 7.854082 8.920742 9.189658
471 6.137473 7.850313 8.938919 9.205118
472 6.145872 7.861917 8.922850 9.188825
473 6.140219 7.845921 8.923705 9.198392
474 6.148685 7.848236 8.932054 9.205041
475 6.149076 7.851069 8.936459 9.202990
476 6.136904 7.849337 8.925480 9.199030
477 6.150854 7.856049 8.929068 9.202183
478 6.147123 7.837197 8.919867 9.194500
479 6.142258 7.847928 8.924373 9.190804
480 6.144108 7.842343 8.928329 9.195507
481 6.142950 7.853211 8.931466 9.206223
482 6.142235 7.844531 8.923273 9.193953
483 6.150504 7.844234 8.923677 9.193804
484 6.152810 7.855537 8.931317 9.197083
485 6.143407 7.856001 8.929653 9.200872
486 6.136636 7.846645 8.926004 9.204353
487 6.140870 7.844070 8.914297 9.200756
488 6.150753 7.859515 8.935255 9.194492
489 6.133617 7.844233 8.925843 9.207775
490 6.143993 7.844802 8.924445 9.195195
491 6.142085 7.860164 8.930459 9.194140
492 6.148782 7.853893 8.930579 9.190459
493 6.146974 7.844480 8.928652 9.207975
494 6.138985 7.846985 8.925095 9.193021
495 6.147276 7.855702 8.933447 9.207574
496 6.141816 7.846983 8.929177 9.192207
497 6.137744 7.825304 8.923381 9.204801
498 6.137384 7.836432 8.919637 9.197831
499 6.153407 7.852873 8.938521 9.209547
500 6.143950 7.850810 8.929857 9.193491
501 6.126925 7.834022 8.922717 9.192927
502 6.135367 7.841581 8.918638 9.200538
503 6.124895 7.817259 8.908466 9.193937
504 6.129635 7.819555 8.917088 9.195726
505 6.135692 7.816766 8.910230 9.195601
506 6.136074 7.811047 8.918886 9.200196
507 6.133613 7.824972 8.915632 9.190796
508 6.121620 7.810113 8.915431 9.195343
509 6.133850 7.824299 8.921509 9.202277
510 6.135556 7.835825 8.926128 9.206301
511 6.143026 7.830809 8.915925 9.198298
512 6.117948 7.805928 8.925799 9.201974
513 6.128191 7.814118 8.916388 9.196451
514 6.135617 7.825682 8.919180 9.195538
515 6.141662 7.836171 8.920830 9.204531
516 6.130512 7.807059 8.908183 9.188613
517 6.120005 7.807220 8.917410 9.192998
518 6.135811 7.831448 8.925884 9.205180
519 6.127700 7.826943 8.916365 9.201477
520 6.135951 7.820524 8.919118 9.195460
521 6.133104 7.827979 8.914662 9.195929
522 6.126791 7.828690 8.926618 9.203005
523 6.136227 7.822887 8.923927 9.199287
524 6.128571 7.816304 8.927091 9.209824
525 6.125347 7.818261 8.913560 9.206718
526 6.124356 7.818558 8.924089 9.197886
527 6.127442 7.819464 8.914568 9.197184
528 6.121105 7.825082 8.914548 9.194757
529 6.139633 7.816557 8.916327 9.199092
530 6.146646 7.832936 8.920449 9.196896
531 6.134792 7.814670 8.908886 9.192058
532 6.129346 7.820972 8.914659 9.191682
533 6.138580 7.832535 8.918325 9.197512
534 6.133395 7.814308 8.923843 9.192873
535 6.133210 7.815686 8.916516 9.191345
536 6.116996 7.823908 8.911472 9.194015
537 6.125028 7.829905 8.925921 9.197870
538 6.134117 7.827986 8.915884 9.196756
539 6.137966 7.813995 8.911352 9.193162
540 6.152182 7.836824 8.934225 9.208946
541 6.133034 7.827549 8.922606 9.209131
542 6.126240 7.818373 8.931859 9.205173
543 6.133618 7.829795 8.930406 9.208885
544 6.133181 7.834593 8.931657 9.209270
545 6.131779 7.820977 8.915980 9.193327
546 6.127147 7.823024 8.926515 9.201671
547 6.139520 7.832848 8.918178 9.198283
548 6.138767 7.823771 8.925021 9.203339
549 6.138983 7.831049 8.923818 9.206200
550 6.139553 7.831563 8.922040 9.200662
551 6.127216 7.818353 8.918384 9.195257
552 6.119650 7.819037 8.924337 9.202563
553 6.137429 7.824085 8.918608 9.202571
554 6.142686 7.820859 8.919819 9.192771
555 6.134047 7.825685 8.918363 9.204832
556 6.137521 7.832320 8.919856 9.196475
557 6.133985 7.831174 8.913760 9.189532
558 6.124136 7.821643 8.917121 9.197145
559 6.134526 7.827266 8.924930 9.202439
560 6.123271 7.823131 8.913753 9.199014
561 6.129235 7.820380 8.913502 9.202982
562 6.120510 7.816927 8.927644 9.206239
563 6.122995 7.806313 8.918640 9.194163
564 6.128951 7.825683 8.924979 9.204430
565 6.123639 7.825304 8.922836 9.203447
566 6.131091 7.821859 8.919526 9.199489
567 6.132052 7.826710 8.930288 9.197605
568 6.123240 7.816144 8.923717 9.200421
569 6.128673 7.806492 8.912272 9.194461
570 6.132770 7.823430 8.914031 9.197527
571 6.129430 7.816032 8.911990 9.188739
572 6.131383 7.826989 8.911762 9.189862
573 6.133506 7.815667 8.898712 9.188511
574 6.123847 7.824053 8.916197 9.195929
575 6.132343 7.816703 8.914348 9.197512
576 6.141598 7.828432 8.923974 9.196654
577 6.139189 7.820007 8.925321 9.196880
