# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
369 3.995201 5.813256 7.661820 8.286521
370 3.993318 5.813254 7.651934 8.291797
371 3.992301 5.813650 7.661225 8.289791
372 3.994343 5.814255 7.665558 8.286269
373 3.990360 5.815147 7.660603 8.290794
374 3.992787 5.812577 7.656262 8.291045
375 3.990025 5.814412 7.662095 8.287780
376 3.994813 5.815871 7.658473 8.285261
377 3.991627 5.816491 7.654477 8.293800
378 3.989503 5.815733 7.661191 8.289791
379 3.996342 5.817366 7.670989 8.287025
380 3.990545 5.816406 7.657688 8.288786
381 3.978307 5.808447 7.651831 8.283494
382 3.983696 5.813974 7.652358 8.292799
383 3.984487 5.812704 7.658701 8.293049
384 3.991497 5.814696 7.674284 8.291547
385 3.989540 5.814718 7.671598 8.288786
386 3.976644 5.808626 7.645783 8.290794
387 3.983690 5.810758 7.652957 8.291045
388 3.977232 5.811199 7.655706 8.293299
389 3.980979 5.811446 7.664573 8.292298
390 3.986007 5.812512 7.670597 8.289791
391 3.985365 5.813576 7.675117 8.288534
392 3.993316 5.817388 7.669707 8.288283
393 3.984787 5.813224 7.655765 8.290544
394 3.976109 5.812202 7.646964 8.290544
395 3.972612 5.807323 7.642673 8.289288
396 3.983669 5.811094 7.660872 8.291547
397 3.990174 5.815703 7.667202 8.293049
398 3.990085 5.813088 7.673121 8.286521
399 3.983106 5.811819 7.661692 8.288786
400 3.991989 5.815959 7.669663 8.290042
401 3.978822 5.808825 7.648683 8.291797
402 3.973092 5.806963 7.649176 8.291547
403 3.992023 5.815601 7.669453 8.287528
404 3.990993 5.813394 7.661731 8.284757
405 3.987564 5.813299 7.663304 8.291547
406 3.983985 5.811758 7.654560 8.290293
407 3.986492 5.812463 7.665551 8.292549
408 3.980708 5.811372 7.653111 8.292048
409 3.980306 5.811479 7.665229 8.291045
410 3.980486 5.810326 7.653200 8.291045
411 3.986620 5.810863 7.663536 8.292048
412 3.985164 5.812860 7.656414 8.290042
413 3.986376 5.812103 7.645335 8.291547
414 3.987089 5.811220 7.660160 8.291797
415 3.983929 5.812713 7.664360 8.290293
416 3.980036 5.811799 7.657986 8.293049
417 3.978977 5.810567 7.656816 8.287528
418 3.983196 5.812599 7.668517 8.288032
419 3.984325 5.811667 7.657336 8.293800
420 3.990311 5.815021 7.666744 8.293049
421 3.991404 5.814287 7.664030 8.288283
422 3.989369 5.814918 7.668037 8.287528
423 3.982686 5.811496 7.661145 8.287277
424 3.977856 5.810165 7.658403 8.289288
425 3.983367 5.811083 7.657524 8.287277
426 3.979797 5.812389 7.653206 8.286773
427 3.985622 5.814590 7.664123 8.290293
428 3.971130 5.810179 7.652991 8.287528
429 3.986885 5.809188 7.661392 8.286269
430 3.980912 5.809924 7.657428 8.285765
431 3.986626 5.812095 7.656283 8.289539
432 3.984173 5.813973 7.662586 8.288786
433 3.981369 5.809907 7.659045 8.287277
434 3.985635 5.813174 7.662338 8.293800
435 3.977669 5.811153 7.659739 8.287780
436 3.989491 5.812581 7.662821 8.293550
437 3.979807 5.812302 7.661684 8.291547
438 3.979650 5.810520 7.661195 8.293800
439 3.980939 5.809634 7.645776 8.290794
440 3.976048 5.809535 7.647381 8.288534
441 3.973283 5.810438 7.644397 8.293550
442 3.977143 5.810161 7.651884 8.290042
443 3.973185 5.806961 7.653340 8.288534
444 3.977074 5.810054 7.662726 8.291547
445 3.977246 5.810441 7.658769 8.288283
446 3.981156 5.813216 7.662671 8.292048
447 3.974428 5.810198 7.654836 8.286521
448 3.975306 5.810368 7.663928 8.290794
449 3.978918 5.808509 7.656570 8.288032
450 3.975382 5.812429 7.657434 8.293800
451 3.985347 5.812256 7.657745 8.291547
452 3.976319 5.810887 7.656415 8.293049
453 3.976249 5.809908 7.648302 8.290794
454 3.982935 5.812275 7.656543 8.286521
455 3.986411 5.812493 7.655216 8.285513
456 3.974707 5.808416 7.646619 8.287528
457 3.980104 5.812303 7.655035 8.287277
458 3.984629 5.811187 7.656836 8.289539
459 3.977275 5.809508 7.655308 8.288786
460 3.977918 5.809317 7.655256 8.293800
461 3.976186 5.809317 7.658187 8.290042
462 3.985838 5.813273 7.660130 8.293299
463 3.983380 5.813432 7.656060 8.287780
464 3.983990 5.812583 7.661750 8.288534
465 3.981753 5.810633 7.670142 8.291045
466 3.986200 5.812116 7.667841 8.291797
467 3.986791 5.812527 7.660979 8.289288
468 3.980943 5.810940 7.655368 8.291797
469 3.980330 5.810520 7.651835 8.292799
470 3.989210 5.814133 7.657753 8.289288
471 3.977931 5.812118 7.657573 8.287780
472 3.977868 5.809636 7.649273 8.289791
473 3.983416 5.811887 7.659167 8.290293
474 3.980242 5.811981 7.659538 8.292549
475 3.978294 5.811479 7.660862 8.292549
476 3.976516 5.809231 7.656574 8.292298
477 3.975912 5.808644 7.650732 8.291296
478 3.984038 5.813481 7.660749 8.293800
479 3.987274 5.813279 7.666109 8.287780
480 3.984944 5.813838 7.678141 8.291296
