cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num,shannon_entropy
0.0110845,0.0236607,0.0,0.4684772639862726,0.5315227360137273,snapshot_46.xyz,64,4000,16.796962,4000,all,46,7.622545983161366
0.0112851,0.0236269,0.0,0.4776377772792876,0.5223622227207124,snapshot_47.xyz,64,4000,16.796962,4000,all,47,7.6201808530060315
0.0114737,0.0236719,0.0,0.484697045864506,0.515302954135494,snapshot_48.xyz,64,4000,16.796962,4000,all,48,7.621426366896161
0.0113205,0.023717,0.0,0.4773158493907324,0.5226841506092675,snapshot_49.xyz,64,4000,16.796962,4000,all,49,7.6209091532674575
0.0109191,0.0235256,0.0,0.4641369401843098,0.5358630598156902,snapshot_50.xyz,64,4000,16.796962,4000,all,50,7.619928239450321
0.0112733,0.0235031,0.0,0.4796516204245397,0.5203483795754602,snapshot_51.xyz,64,4000,16.796962,4000,all,51,7.6219128137085015
0.0113912,0.0236382,0.0,0.4818979448519769,0.5181020551480231,snapshot_52.xyz,64,4000,16.796962,4000,all,52,7.6218713968641225
0.0110018,0.023762,0.0,0.4629997474960021,0.5370002525039979,snapshot_53.xyz,64,4000,16.796962,4000,all,53,7.621701064728141
0.0113676,0.0235931,0.0,0.4818188368633202,0.5181811631366797,snapshot_54.xyz,64,4000,16.796962,4000,all,54,7.623829261888754
0.0108836,0.023458,0.0,0.463961122005286,0.536038877994714,snapshot_55.xyz,64,4000,16.796962,4000,all,55,7.619165271672058
0.0113794,0.0236269,0.0,0.481628990684347,0.5183710093156529,snapshot_56.xyz,64,4000,16.796962,4000,all,56,7.622397949057776
0.01099,0.0235931,0.0,0.4658141575291081,0.5341858424708918,snapshot_57.xyz,64,4000,16.796962,4000,all,57,7.6213039241711
0.011403,0.0236269,0.0,0.482627852151573,0.517372147848427,snapshot_58.xyz,64,4000,16.796962,4000,all,58,7.6213105957187715
0.011403,0.0236382,0.0,0.4823971368378302,0.5176028631621697,snapshot_59.xyz,64,4000,16.796962,4000,all,59,7.6209699375804085
0.0111789,0.0236832,0.0,0.4720181394406161,0.5279818605593839,snapshot_60.xyz,64,4000,16.796962,4000,all,60,7.617431456428323
0.0113794,0.0234468,0.0,0.4853284883225002,0.5146715116774998,snapshot_61.xyz,64,4000,16.796962,4000,all,61,7.6213369551782915
0.0110254,0.0234918,0.0,0.4693297235631156,0.5306702764368845,snapshot_62.xyz,64,4000,16.796962,4000,all,62,7.621199448174687
0.0113559,0.0235706,0.0,0.4817823899264338,0.5182176100735663,snapshot_63.xyz,64,4000,16.796962,4000,all,63,7.6218630277929
0.0107653,0.023413,0.0,0.459800111049417,0.540199888950583,snapshot_64.xyz,64,4000,16.796962,4000,all,64,7.625043673661664
0.0113441,0.0236044,0.0,0.4805926013794038,0.5194073986205963,snapshot_65.xyz,64,4000,16.796962,4000,all,65,7.621859782036868
