snapshot,prefix_length,full_length,fraction,cid,cid_normalized,compression_gain,n_particles_total,box_length,nbins,snapshot_num
snapshot_156.xyz,8192,32768,0.25,0.0848311,0.8063409533767406,0.1936590466232594,4000,16.757672110741936,32,156
snapshot_156.xyz,12000,32768,0.3662109375,0.0811499,0.767752464568866,0.23224753543113397,4000,16.757672110741936,32,156
snapshot_156.xyz,16384,32768,0.5,0.0780945,0.7593860305915071,0.2406139694084929,4000,16.757672110741936,32,156
snapshot_156.xyz,20000,32768,0.6103515625,0.0759001,0.7452291650302412,0.25477083496975883,4000,16.757672110741936,32,156
snapshot_156.xyz,24576,32768,0.75,0.0744713,0.7339604789829005,0.2660395210170995,4000,16.757672110741936,32,156
snapshot_156.xyz,28000,32768,0.8544921875,0.07322,0.7283397990649557,0.2716602009350443,4000,16.757672110741936,32,156
snapshot_156.xyz,32768,32768,1.0,0.0716601,0.7172903159936699,0.2827096840063301,4000,16.757672110741936,32,156
snapshot_157.xyz,2048,32768,0.0625,0.0962702,0.8332845729717565,0.1667154270282435,4000,16.757672110741936,32,157
snapshot_157.xyz,4096,32768,0.125,0.0911416,0.8370061529984388,0.16299384700156117,4000,16.757672110741936,32,157
snapshot_157.xyz,8192,32768,0.25,0.0833409,0.7977037788583023,0.20229622114169765,4000,16.757672110741936,32,157
snapshot_157.xyz,12000,32768,0.3662109375,0.0793845,0.7572111257368511,0.24278887426314888,4000,16.757672110741936,32,157
snapshot_157.xyz,16384,32768,0.5,0.07676,0.7473541753887196,0.2526458246112804,4000,16.757672110741936,32,157
snapshot_157.xyz,20000,32768,0.6103515625,0.0744499,0.7396689616802281,0.2603310383197719,4000,16.757672110741936,32,157
snapshot_157.xyz,24576,32768,0.75,0.0726196,0.7240672423076158,0.27593275769238423,4000,16.757672110741936,32,157
snapshot_157.xyz,28000,32768,0.8544921875,0.0714097,0.718917340769862,0.281082659230138,4000,16.757672110741936,32,157
snapshot_157.xyz,32768,32768,1.0,0.0704471,0.7095821200104352,0.2904178799895648,4000,16.757672110741936,32,157
snapshot_158.xyz,2048,32768,0.0625,0.0962702,0.8910442235426964,0.10895577645730359,4000,16.757672110741936,32,158
snapshot_158.xyz,4096,32768,0.125,0.0869959,0.8371671622544916,0.16283283774550839,4000,16.757672110741936,32,158
snapshot_158.xyz,8192,32768,0.25,0.0818482,0.8040335176871617,0.1959664823128383,4000,16.757672110741936,32,158
snapshot_158.xyz,12000,32768,0.3662109375,0.0783235,0.7778059147152874,0.22219408528471263,4000,16.757672110741936,32,158
snapshot_158.xyz,16384,32768,0.5,0.0755572,0.749895292634755,0.25010470736524504,4000,16.757672110741936,32,158
snapshot_158.xyz,20000,32768,0.6103515625,0.0746732,0.7394923697006308,0.2605076302993692,4000,16.757672110741936,32,158
snapshot_158.xyz,24576,32768,0.75,0.0732681,0.7364916075776066,0.26350839242239343,4000,16.757672110741936,32,158
snapshot_158.xyz,28000,32768,0.8544921875,0.0724799,0.7250165049514854,0.2749834950485146,4000,16.757672110741936,32,158
