snapshot,snapshot_num,nbins_sub,n_tiles,cid_mean,cid_std,cid_min,cid_max,sequence_length
snapshot_278.xyz,278,16,8,0.8860554862263239,0.011642701968756733,0.8629178441755609,0.9051261032325054,4096
snapshot_278.xyz,278,32,1,0.8275886440104322,0.0,0.8275886440104322,0.8275886440104322,32768
snapshot_279.xyz,279,8,64,0.9323982651869083,0.04768818384318818,0.8477374900214277,1.0453156233995804,512
snapshot_279.xyz,279,16,8,0.8776000577278955,0.012446231286793646,0.8597060386045688,0.8931586872516826,4096
snapshot_279.xyz,279,32,1,0.809052033492823,0.0,0.809052033492823,0.809052033492823,32768
snapshot_280.xyz,280,8,64,0.9134339793724994,0.042375225809214746,0.8284315785051048,1.022690852620971,512
snapshot_280.xyz,280,16,8,0.8728007063698864,0.011891713694682792,0.8558652782061282,0.8911802949123471,4096
snapshot_280.xyz,280,32,1,0.8194419316679423,0.0,0.8194419316679423,0.8194419316679423,32768
snapshot_281.xyz,281,8,64,0.9264790792076965,0.04388603660289508,0.8170810723252613,1.0,512
snapshot_281.xyz,281,16,8,0.8899726570627418,0.01033393915263835,0.868369947702158,0.9019900030947268,4096
snapshot_281.xyz,281,32,1,0.8269308374620425,0.0,0.8269308374620425,0.8269308374620425,32768
snapshot_282.xyz,282,8,64,0.9161882678385582,0.042448107690117406,0.8244545353859786,1.0210553999907177,512
snapshot_282.xyz,282,16,8,0.8822550474172384,0.017280517973217942,0.8543729527583652,0.9038049041396546,4096
snapshot_282.xyz,282,32,1,0.8176553074452484,0.0,0.8176553074452484,0.8176553074452484,32768
snapshot_283.xyz,283,8,64,0.9275795966425164,0.04255818430170033,0.8047903165948215,1.0221227859040942,512
snapshot_283.xyz,283,16,8,0.8774167690569652,0.012818457246339949,0.8629178441755609,0.9027528855115062,4096
snapshot_283.xyz,283,32,1,0.8372720118738108,0.0,0.8372720118738108,0.8372720118738108,32768
snapshot_284.xyz,284,8,64,0.9169125307125163,0.041084725613037706,0.8047903165948215,1.0205530303030304,512
snapshot_284.xyz,284,16,8,0.8730682800822305,0.02229623836473909,0.8288295648201831,0.9088512086042747,4096
snapshot_284.xyz,284,32,1,0.8157949521184844,0.0,0.8157949521184844,0.8157949521184844,32768
snapshot_285.xyz,285,8,64,0.9194600595558027,0.04539978011946446,0.8205852174735662,1.0215728419255936,512
snapshot_285.xyz,285,16,8,0.8866013231475438,0.012552926906796137,0.8590793930181081,0.9042483239966939,4096
snapshot_285.xyz,285,32,1,0.8131284164081682,0.0,0.8131284164081682,0.8131284164081682,32768
snapshot_286.xyz,286,8,64,0.9251210550594474,0.05064289525895973,0.8047903165948215,1.0430824667319911,512
snapshot_286.xyz,286,16,8,0.8783628103795652,0.00878386841988592,0.8647851696599573,0.8941237336020585,4096
snapshot_286.xyz,286,32,1,0.8282894343904915,0.0,0.8282894343904915,0.8282894343904915,32768
snapshot_287.xyz,287,8,64,0.9259266600451641,0.04115342392370292,0.8370684343753015,1.0453156233995804,512
snapshot_287.xyz,287,16,8,0.8895710724522858,0.016824179775872868,0.8495734422987742,0.911394323761345,4096
snapshot_287.xyz,287,32,1,0.8329375996810208,0.0,0.8329375996810208,0.8329375996810208,32768
snapshot_288.xyz,288,8,64,0.927263593731239,0.04499484689891636,0.8026280895300733,1.022690852620971,512
snapshot_288.xyz,288,16,8,0.876866661375572,0.014254384397073694,0.8560863338788871,0.8977586456112456,4096
snapshot_288.xyz,288,32,1,0.8352024812675342,0.0,0.8352024812675342,0.8352024812675342,32768
snapshot_289.xyz,289,8,64,0.9254172753681793,0.03965889726847666,0.8389996817651426,1.0420411825677995,512
snapshot_289.xyz,289,16,8,0.8764293299104775,0.023094645522674994,0.844109782098074,0.9144310187321649,4096
snapshot_289.xyz,289,32,1,0.8370294264339152,0.0,0.8370294264339152,0.8370294264339152,32768
snapshot_290.xyz,290,8,64,0.9179967389783968,0.04910349840193029,0.8246024722372892,1.092751785638815,512
snapshot_290.xyz,290,16,8,0.8711977332164507,0.02042401615138669,0.8415821572007315,0.9005185611984526,4096
snapshot_290.xyz,290,32,1,0.8288387125915293,0.0,0.8288387125915293,0.8288387125915293,32768
snapshot_291.xyz,291,8,64,0.9255154046377883,0.042063751282267164,0.8321041453305748,1.0,512
snapshot_291.xyz,291,16,8,0.8732590074084126,0.011474233767874212,0.8575577274755659,0.8921776826624963,4096
snapshot_291.xyz,291,32,1,0.8206218200334385,0.0,0.8206218200334385,0.8206218200334385,32768
snapshot_292.xyz,292,8,64,0.9315146379799171,0.05320711465652046,0.80739955754266,1.1189025445733078,512
